,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC
Date,,,,,,,,,,,,,,,,,,
2018-02-05,24345.75,2648.93994140625,6967.52978515625,24345.75,2648.93994140625,6967.52978515625,25520.529296875,2763.389892578125,7277.35986328125,23923.880859375,2638.169921875,6967.52978515625,25337.869140625,2741.06005859375,7165.9599609375,714450000,5310840000,3143210000
2018-02-06,24912.76953125,2695.139892578125,7115.8798828125,24912.76953125,2695.139892578125,7115.8798828125,24946.23046875,2701.0400390625,7126.5498046875,23778.740234375,2593.070068359375,6824.81982421875,24085.169921875,2614.780029296875,6837.56005859375,823940000,5917350000,3148270000
2018-02-07,24893.349609375,2681.659912109375,7051.97998046875,24893.349609375,2681.659912109375,7051.97998046875,25293.9609375,2727.669921875,7170.33984375,24785.439453125,2681.330078125,7051.52978515625,24892.869140625,2690.949951171875,7086.2001953125,504620000,4646300000,2380020000
2018-02-08,23860.4609375,2581.0,6777.16015625,23860.4609375,2581.0,6777.16015625,24903.6796875,2685.27001953125,7073.990234375,23849.23046875,2580.56005859375,6776.77001953125,24902.30078125,2685.010009765625,7067.2998046875,657500000,5333840000,2730740000
2018-02-09,24190.900390625,2619.550048828125,6874.490234375,24190.900390625,2619.550048828125,6874.490234375,24382.140625,2638.669921875,6917.009765625,23360.2890625,2532.68994140625,6630.669921875,23992.669921875,2601.780029296875,6863.33984375,735030000,5690110000,3165330000
2018-02-12,24601.26953125,2656.0,6981.9599609375,24601.26953125,2656.0,6981.9599609375,24765.16015625,2672.610107421875,7023.6201171875,24290.48046875,2622.449951171875,6879.68994140625,24337.759765625,2636.75,6936.68017578125,496610000,4069220000,2250650000
2018-02-13,24640.44921875,2662.93994140625,7013.509765625,24640.44921875,2662.93994140625,7013.509765625,24705.720703125,2668.840087890625,7025.68017578125,24421.029296875,2637.080078125,6938.16015625,24540.330078125,2646.27001953125,6942.16015625,374410000,3503540000,1830320000
2018-02-14,24893.490234375,2698.6298828125,7143.6201171875,24893.490234375,2698.6298828125,7143.6201171875,24925.94921875,2702.10009765625,7152.0498046875,24490.359375,2648.8701171875,6977.06982421875,24535.8203125,2651.2099609375,6979.240234375,431160000,4011940000,2217630000
2018-02-15,25200.369140625,2731.199951171875,7256.43017578125,25200.369140625,2731.199951171875,7256.43017578125,25203.94921875,2731.510009765625,7256.93017578125,24809.419921875,2689.820068359375,7130.39013671875,25047.8203125,2713.4599609375,7200.75,416780000,3696140000,2124060000
2018-02-16,25219.380859375,2732.219970703125,7239.47021484375,25219.380859375,2732.219970703125,7239.47021484375,25432.419921875,2754.419921875,7303.259765625,25149.259765625,2725.110107421875,7226.3798828125,25165.939453125,2727.139892578125,7236.509765625,406730000,3646920000,2037710000
2018-02-20,24964.75,2716.260009765625,7234.31005859375,24964.75,2716.260009765625,7234.31005859375,25179.009765625,2737.60009765625,7295.9501953125,24884.189453125,2706.760009765625,7206.0,25124.91015625,2722.989990234375,7209.02978515625,421510000,3646920000,1921870000
2018-02-21,24797.779296875,2701.330078125,7218.22998046875,24797.779296875,2701.330078125,7218.22998046875,25267.990234375,2747.75,7338.64013671875,24792.990234375,2701.2900390625,7218.10986328125,24988.060546875,2720.530029296875,7258.47998046875,456070000,3789040000,1956120000
2018-02-22,24962.48046875,2703.9599609375,7210.08984375,24962.48046875,2703.9599609375,7210.08984375,25156.720703125,2731.260009765625,7280.93017578125,24854.830078125,2697.77001953125,7194.83984375,24855.41015625,2710.419921875,7252.4599609375,378900000,3720620000,1927580000
2018-02-23,25309.990234375,2747.300048828125,7337.39013671875,25309.990234375,2747.300048828125,7337.39013671875,25313.91015625,2747.760009765625,7337.830078125,25028.73046875,2713.739990234375,7232.5,25050.509765625,2715.800048828125,7261.35009765625,335420000,3200360000,1887540000
2018-02-26,25709.26953125,2779.60009765625,7421.4599609375,25709.26953125,2779.60009765625,7421.4599609375,25732.80078125,2780.639892578125,7421.85009765625,25398.560546875,2753.780029296875,7360.25,25403.349609375,2757.3701171875,7373.2998046875,473360000,3436590000,1876560000
2018-02-27,25410.029296875,2744.280029296875,7330.35009765625,25410.029296875,2744.280029296875,7330.35009765625,25800.349609375,2789.14990234375,7438.08984375,25407.830078125,2744.219970703125,7330.35009765625,25735.779296875,2780.449951171875,7416.169921875,438390000,3752070000,2162250000
2018-02-28,25029.19921875,2713.830078125,7273.009765625,25029.19921875,2713.830078125,7273.009765625,25576.150390625,2761.52001953125,7386.7998046875,25022.419921875,2713.5400390625,7273.009765625,25485.150390625,2753.780029296875,7371.41015625,451870000,4244570000,2384940000
2018-03-01,24608.98046875,2677.669921875,7180.56005859375,24608.98046875,2677.669921875,7180.56005859375,25185.349609375,2730.889892578125,7307.85009765625,24442.560546875,2659.64990234375,7117.66015625,25024.0390625,2715.219970703125,7274.75,506280000,4514490000,2499010000
2018-03-02,24538.060546875,2691.25,7257.8701171875,24538.060546875,2691.25,7257.8701171875,24592.4609375,2696.25,7267.18994140625,24217.759765625,2647.320068359375,7084.830078125,24394.91015625,2658.889892578125,7099.5400390625,437130000,3891250000,2291480000
2018-03-05,24874.759765625,2720.93994140625,7330.7099609375,24874.759765625,2720.93994140625,7330.7099609375,24961.0,2728.090087890625,7350.06982421875,24387.150390625,2675.75,7205.31005859375,24471.310546875,2681.06005859375,7222.89013671875,383910000,3733640000,2076870000
2018-03-06,24884.119140625,2728.1201171875,7372.009765625,24884.119140625,2728.1201171875,7372.009765625,24995.240234375,2732.080078125,7378.02978515625,24708.41015625,2711.260009765625,7319.68017578125,24965.890625,2730.179931640625,7366.60986328125,331770000,3389030000,2132920000
2018-03-07,24801.359375,2726.800048828125,7396.64990234375,24801.359375,2726.800048828125,7396.64990234375,24849.6796875,2730.60009765625,7403.7900390625,24535.119140625,2701.739990234375,7311.740234375,24758.150390625,2710.179931640625,7311.740234375,394070000,3406690000,2198610000
2018-03-08,24895.2109375,2738.969970703125,7427.9501953125,24895.2109375,2738.969970703125,7427.9501953125,24950.490234375,2740.449951171875,7435.009765625,24703.05078125,2722.64990234375,7391.5,24853.41015625,2732.75,7422.77001953125,327300000,3206040000,2277740000
2018-03-09,25335.740234375,2786.570068359375,7560.81005859375,25335.740234375,2786.570068359375,7560.81005859375,25336.330078125,2786.570068359375,7560.81005859375,25004.890625,2751.5400390625,7469.02978515625,25004.890625,2752.909912109375,7475.97998046875,371570000,3376870000,2310050000
2018-03-12,25178.609375,2783.02001953125,7588.31982421875,25178.609375,2783.02001953125,7588.31982421875,25449.150390625,2796.97998046875,7609.10009765625,25152.01953125,2779.260009765625,7563.43994140625,25372.439453125,2790.5400390625,7581.0400390625,362580000,3216960000,2314480000
2018-03-13,25007.029296875,2765.31005859375,7511.009765625,25007.029296875,2765.31005859375,7511.009765625,25376.400390625,2801.89990234375,7637.27001953125,24947.5,2758.679931640625,7492.97998046875,25257.75,2792.31005859375,7627.52001953125,447880000,3324290000,2459220000
2018-03-14,24758.119140625,2749.47998046875,7496.81005859375,24758.119140625,2749.47998046875,7496.81005859375,25130.119140625,2777.110107421875,7544.89013671875,24668.830078125,2744.3798828125,7473.89990234375,25086.970703125,2774.06005859375,7539.77978515625,356830000,3394630000,2112950000
2018-03-15,24873.66015625,2747.330078125,7481.740234375,24873.66015625,2747.330078125,7481.740234375,25053.869140625,2763.030029296875,7525.43994140625,24753.2890625,2741.469970703125,7463.18994140625,24837.2890625,2754.27001953125,7509.240234375,316310000,3543710000,2008290000
